model,mae,mse,rmse,r2,within_20_pct,train_accuracy,test_accuracy,precision,recall,f1
2. Ridge Regression,8.739891128831877,142.12329667819404,11.921547578993007,0.41916639140956524,42.31464737793852,0.6772953414744459,0.6781193490054249,0.6525561389313069,0.5250697694303017,0.5567936969954689
1. Clinical Formula,8.746824234409532,143.6132171051018,11.983873209655624,0.41307734142057617,42.31464737793852,0.6800090456806874,0.6799276672694394,0.6566483530617656,0.5350455876910596,0.5677055853484099
5. LightGBM,8.83116830761495,144.92030637916523,12.03828502649631,0.40773549108675544,42.58589511754069,0.6985526910900045,0.6763110307414105,0.6215665037446011,0.5422040142191901,0.5671421526660397
3. Random Forest,8.910629219759414,146.77884391921825,12.11523189704672,0.4001399659946655,41.048824593128394,0.6777476255088195,0.6708860759493671,0.6487925326539118,0.4916662900100179,0.5177211760790751
4. XGBoost,8.957380932971754,149.76094826065972,12.237685576147955,0.38795261552984606,42.58589511754069,0.7247851650836725,0.6790235081374322,0.6177828683641755,0.5349091882731835,0.5599300093533852
