round,train_size,dose_rmse,dose_mae,dose_r2,dose_within_20_pct,stability_rmse,stability_mae,stability_r2,stability_within_7_days_pct
Initial,2500,17.959469655460847,15.546049600919087,-1.6979118918055627,22.333333333333332,11.467545126352912,9.576933781305948,-1.1793171444806232,39.0
Update 1,2800,7.801226301513511,6.05235013516744,0.4909428995562243,74.16666666666667,6.215867873806248,4.862206627527873,0.3597006387118017,74.33333333333333
Update 2,3100,6.802298586251221,5.287230929056803,0.6129633165467205,81.66666666666667,6.122322199173432,4.85423539797465,0.3788279835461752,75.33333333333333
Update 3,3400,6.28520491498696,4.885295634587607,0.6695698787276733,85.66666666666667,6.064500002153241,4.82349544207255,0.390505879029749,75.5
