rank,model,rmse,mae,r2,within_20_pct
1,Our Model (Tuned LightGBM),11.903368207401755,8.701158645329793,0.42093648694266905,41.952983725135624
2,IWPC Pharmacogenetic Calculator,11.919792167109932,8.652591253751266,0.41933743080611663,41.68173598553345
3,Linear Regression,11.923764415425635,8.736429679650707,0.41895035690339977,41.32007233273056
4,Neural Network,12.09374065081241,8.880950222745694,0.40226626542640687,41.500904159132006
5,XGBoost,12.233214420451208,8.82697027267125,0.388399768583203,41.41048824593128
6,Random Forest,13.092818522316499,9.532640340993284,0.29942802291534176,39.602169981916816
7,IWPC Clinical Formula,13.839399191293742,10.06964680346887,0.21725385365461247,35.62386980108499
