rank,model,r2,rmse,mae,within_7_days_pct
1,Linear Regression,0.13171912244357342,4.1890177497031,3.322220568324802,89.60000000000001
2,Neural Network,0.12830255770665444,4.19725125993242,3.3245124232673025,90.0
3,XGBoost,0.11123224632894158,4.238149056476981,3.353721324920654,90.2
4,LightGBM,0.10825915328515512,4.245231835603604,3.3212918759994032,90.60000000000001
5,Random Forest,0.0880688158278422,4.293022017064541,3.3777429415306908,89.2
