rank,model,rmse,mae,r2,within_20_pct
1,Our Model (Tuned LightGBM),11.894647979243965,8.717814147364447,0.42178460257612727,41.952983725135624
2,IWPC Pharmacogenetic Calculator,11.919792167109932,8.652591253751266,0.41933743080611663,41.68173598553345
3,Linear Regression,11.921590129188713,8.73500599302652,0.419162245198235,42.043399638336346
4,Neural Network,12.15693739383034,8.88228679247152,0.39600293898463157,41.77215189873418
5,XGBoost,12.234967829545582,8.840095580140677,0.3882244324492137,41.77215189873418
6,Random Forest,13.066756286455579,9.544205205553947,0.30221432895710687,40.3254972875226
7,IWPC Clinical Formula,13.839399191293742,10.06964680346887,0.21725385365461247,35.62386980108499
