feature,mean_abs_shap
VKORC1_A/A,4.2535432196252385
VKORC1_G/G,3.2411937004813898
Weight_kg,3.0852110313973453
Age_Decades,2.9233206162674183
CYP2C9_*1/*1,1.8285055776695216
Height_cm,1.019947134213603
Amiodarone,0.59197857580295
Race_Group_Asian,0.3484324570222877
CYP2C9_*1/*3,0.31149753793927387
VKORC1_Unknown,0.3077473547538683
Enzyme_Inducer,0.22328613446042872
Race_Group_White,0.21071117293872216
CYP2C9_*1/*2,0.15475135214443417
CYP2C9_*2/*3,0.07186430122514721
Race_Group_Black,0.07108865392140577
VKORC1_A/G,0.04100857120178406
CYP2C9_Unknown,0.033253713732888074
CYP2C9_*2/*2,0.014770567581010972
Race_Group_Other/Unknown,0.006710907667060388
CYP2C9_*3/*3,0.0
