round,train_size,dose_rmse,dose_mae,dose_r2,dose_within_20_pct
Initial,5528,12.259837041616368,9.20625898398363,0.3323414542400773,40.0
Update 1,5828,11.818084224527748,8.977876857061833,0.3795894439202696,42.66666666666667
Update 2,6128,12.102684313590336,9.170224851647681,0.34934851151276247,41.333333333333336
Update 3,6428,11.87833580198887,9.027802402100411,0.37324729875927765,43.666666666666664
